win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,payload_byte_0_mean,payload_byte_0_std,payload_byte_0_min,payload_byte_0_max,payload_byte_1_mean,payload_byte_1_std,payload_byte_1_min,payload_byte_1_max,payload_byte_2_mean,payload_byte_2_std,payload_byte_2_min,payload_byte_2_max,payload_byte_3_mean,payload_byte_3_std,payload_byte_3_min,payload_byte_3_max,payload_byte_4_mean,payload_byte_4_std,payload_byte_4_min,payload_byte_4_max,payload_byte_5_mean,payload_byte_5_std,payload_byte_5_min,payload_byte_5_max,payload_byte_6_mean,payload_byte_6_std,payload_byte_6_min,payload_byte_6_max,payload_byte_7_mean,payload_byte_7_std,payload_byte_7_min,payload_byte_7_max,file,label
21,1760045919.2848015,1760045919.384575,99.77340698242188,80,17,1.2499839067459106,1.9352474691144792,3.41524101186092,8.0,6832.0564453125,5.725,6.170443663141253,0,15,114.675,118.5611419268556,0,255,190.375,42.62170075208168,46,212,95.1875,47.385676567397454,47,215,129.9125,75.42632062980401,0,255,129.5875,73.98153380236177,4,255,142.3125,66.92656306542268,4,244,131.1625,76.06517661683303,3,237,can_log_regular_no_traffic.csv,0
22,1760045919.3847992,1760045919.4845817,99.78246688842773,80,17,1.2500852346420288,1.9331735042590623,3.41524101186092,8.0,6403.9611328125,5.725,6.170443663141253,0,15,114.7125,118.56519237849699,0,255,190.375,42.62170075208168,46,212,104.0625,45.42503267747861,57,216,135.2125,75.45390873738748,0,251,162.0,65.31519731272347,6,255,114.025,63.802620439916105,6,234,128.725,64.91551721275894,2,235,can_log_regular_no_traffic.csv,0
23,1760045919.4848032,1760045919.5845816,99.77841377258301,80,17,1.2499988079071045,1.9336619367996208,3.41524101186092,8.0,6634.437109375,5.725,6.170443663141253,0,15,114.65,118.55854039249986,0,255,190.375,42.62170075208168,46,212,112.9375,43.5796236072548,67,217,125.15,75.65350289312451,6,255,105.2125,73.6311234720074,0,248,114.275,76.18234293456719,7,238,118.6,70.70724856759738,6,232,can_log_regular_no_traffic.csv,0
24,1760045919.584798,1760045919.6845777,99.77960586547852,80,17,1.2499511241912842,1.9345423960590735,3.41524101186092,8.0,6487.7775390625,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,190.375,42.62170075208168,46,212,121.8125,41.86469089519233,77,218,122.8875,75.74744116965275,0,250,152.2125,71.40267742704052,5,251,120.075,64.23643339258494,0,237,129.575,69.66917808471692,1,255,can_log_regular_no_traffic.csv,0
25,1760045919.684821,1760045919.784572,99.75099563598633,80,17,1.249927282333374,1.9322738053821058,3.41524101186092,8.0,6693.774609375,5.725,6.170443663141253,0,15,114.6875,118.56259884023292,0,255,190.375,42.62170075208168,46,212,130.6875,40.29689620491881,87,219,126.825,74.08336098612158,3,247,142.1625,73.47575173994478,0,254,139.5625,64.57647477022883,15,239,129.325,77.25748750121247,18,255,can_log_regular_no_traffic.csv,0
26,1760045919.7848208,1760045919.8845778,99.75695610046387,80,17,1.2500733137130737,1.9322981030359172,3.41524101186092,8.0,6682.6779296875,5.725,6.170443663141253,0,15,114.7,118.56373813270226,0,255,190.375,42.62170075208168,46,212,139.5625,38.89403673765427,97,220,139.575,72.47961351304241,15,253,107.2875,76.50869129549922,5,254,123.2875,61.29563478543966,2,234,129.85,76.06791373503023,0,254,can_log_regular_no_traffic.csv,0
27,1760045919.8848095,1760045919.9845812,99.77173805236816,80,17,1.250043511390686,1.9325380696573031,3.41524101186092,8.0,6676.8697265625,5.725,6.170443663141253,0,15,114.65,118.55854039249988,0,255,190.375,42.62170075208168,46,212,148.4375,37.674541719176894,107,221,136.2,74.73091729665842,5,253,165.8125,53.42216154134911,21,255,108.5625,76.47366274574536,1,239,117.45,79.30099305809482,2,255,can_log_regular_no_traffic.csv,0
28,1760045919.9848216,1760045920.0845785,99.75695610046387,80,17,1.249966025352478,1.9385259913917652,3.41524101186092,8.0,6721.7021484375,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,190.375,42.62170075208168,46,212,157.3125,36.65671621613153,117,222,128.1375,73.77698552902524,8,243,101.225,76.08383123239784,0,251,132.45,68.06116734232523,8,253,134.1875,73.82446981692452,1,237,can_log_regular_no_traffic.csv,0
29,1760045920.084793,1760045920.1845672,99.77412223815918,80,17,1.2498587369918823,1.9333470757638516,3.41524101186092,8.0,6552.160546875,5.725,6.170443663141253,0,15,114.6,118.5533213368567,0,255,190.375,42.62170075208168,46,212,166.1875,35.85773757154793,127,223,131.2875,73.33368832773925,0,254,119.1375,74.36577568848458,1,249,147.9125,63.94825911430271,28,250,126.825,73.13801593562681,4,237,can_log_regular_no_traffic.csv,0
30,1760045920.184816,1760045920.2845676,99.75171089172363,80,17,1.250004768371582,1.9335730866340792,3.41524101186092,8.0,6507.5126953125,5.725,6.170443663141253,0,15,114.6,118.5533213368567,0,255,190.375,42.62170075208168,46,212,175.0625,35.292472196631394,137,224,107.325,66.5822376839349,1,251,115.0875,68.9728558474274,4,252,117.5125,77.80857821442312,16,243,127.075,66.7597886081135,3,249,can_log_regular_no_traffic.csv,0
31,1760045920.2847936,1760045920.384576,99.78246688842773,80,17,1.2501060962677002,1.9326601577131275,3.41524101186092,8.0,7133.240625,5.725,6.170443663141253,0,15,114.7,118.56373813270226,0,255,190.375,42.62170075208168,46,212,183.9375,34.972254627776,147,230,135.0,72.69026757413953,6,249,119.9625,78.78395200642068,0,253,120.3125,62.4510996200227,2,244,119.6875,77.65156047208582,2,254,can_log_regular_no_traffic.csv,0
32,1760045920.384791,1760045920.4845722,99.78127479553223,80,17,1.2499511241912842,1.9352527932529846,3.41524101186092,8.0,6927.5607421875,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,190.375,42.62170075208168,46,212,192.8125,34.903829929536386,157,240,132.2375,76.91687782112585,0,255,116.0625,70.16255122036256,1,253,146.45,61.042178041088924,12,252,128.15,76.23271935330655,1,254,can_log_regular_no_traffic.csv,0
33,1760045920.4848142,1760045920.5845635,99.74932670593262,80,17,1.2498915195465088,1.9332059492990454,3.41524101186092,8.0,7205.4044921875,5.725,6.170443663141253,0,15,114.6375,118.55739577837394,0,255,190.375,42.62170075208168,46,212,201.6875,35.08867115964924,167,250,143.425,72.91943756639927,4,253,132.4875,73.44742911600106,0,251,127.0125,66.72021690424874,19,251,132.4875,81.18820630947577,6,254,can_log_regular_no_traffic.csv,0
34,1760045920.5848117,1760045920.6845782,99.76649284362793,80,17,1.2501835823059082,1.931869121534111,3.41524101186092,8.0,7567.003515625,5.725,6.170443663141253,0,15,114.725,118.5663290103899,0,255,190.5375,42.652357423124904,46,212,168.9625,79.07787992700614,0,255,116.8625,74.01650892706303,2,251,138.825,76.35407241922333,1,255,115.75,80.38695478745292,3,255,127.2375,70.49578777310033,0,246,can_log_regular_no_traffic.csv,0
35,1760045920.684813,1760045920.7783763,93.56331825256348,79,17,1.1873184880123864,1.8600510624786495,3.4196666886046656,8.0,7150.124802215189,5.6075949367088604,6.119935718862766,0,15,112.9113924050633,118.24831091719683,0,255,190.48101265822785,42.89340947266505,46,212,122.50632911392405,89.36199648417956,3,229,110.15189873417721,72.66414654145012,3,255,91.70886075949367,69.67722180126471,2,253,128.0759493670886,65.41702100185341,19,246,125.9113924050633,75.42909989333981,6,250,can_log_regular_no_traffic.csv,0
36,1760045920.784601,1760045920.8845854,99.98440742492676,81,17,1.3112227121988933,1.9891211487235883,3.409363169572871,8.0,6912.029706790124,5.839506172839506,6.217174123114324,0,15,116.38271604938272,118.8393009671105,0,255,191.01234567901236,42.49197275743705,46,212,133.11111111111111,88.0852561197333,13,230,126.24691358024691,72.08731517397865,4,254,144.07407407407408,66.34269016043069,6,251,136.85185185185185,70.96984424998368,9,254,123.81481481481481,66.40301776407142,2,255,can_log_regular_no_traffic.csv,0
37,1760045920.8848116,1760045920.9845717,99.76005554199219,80,17,1.2498289346694946,1.933385525270805,3.41524101186092,8.0,7494.4615234375,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,190.75,42.691480414715066,46,212,141.1875,87.5908233992009,23,231,149.9125,72.10776548853805,8,255,138.6125,70.32433678144433,0,251,134.3625,70.16769978950431,2,254,134.3375,78.2302600900061,5,255,can_log_regular_no_traffic.csv,0
38,1760045920.984785,1760045921.0845652,99.78008270263672,80,17,1.2499183416366577,1.9334665290276516,3.41524101186092,8.0,7492.288671875,5.725,6.170443663141253,0,15,114.65,118.55854039249988,0,255,190.75,42.691480414715066,46,212,150.0625,86.93493885515765,33,232,134.0,76.02548914673288,0,255,110.4125,77.5715304976639,1,253,111.075,74.58900304334414,0,252,121.725,70.13504384400139,0,246,can_log_regular_no_traffic.csv,0
39,1760045921.0848098,1760045921.1845834,99.77364540100098,80,17,1.2502282857894897,1.9318326705037947,3.41524101186092,8.0,7385.5275390625,5.725,6.170443663141253,0,15,114.65,118.55854039249986,0,255,190.75,42.691480414715066,46,212,158.9375,86.37669589507345,43,237,133.25,73.42487657463239,0,247,165.7375,53.70631800589201,10,255,139.9,68.5883736503498,0,253,126.7125,81.43466610571936,6,253,can_log_regular_no_traffic.csv,0
40,1760045921.1848197,1760045921.284566,99.7462272644043,80,17,1.2497812509536743,1.9274463783203843,3.41524101186092,8.0,7549.7056640625,5.725,6.170443663141253,0,15,114.65,118.55854039249988,0,255,190.75,42.691480414715066,46,212,167.8125,85.91799778713421,53,247,109.0875,72.3982378497571,2,245,120.6375,77.85968850278044,2,253,136.125,70.28484456125659,1,253,119.525,74.49697560975211,1,255,can_log_regular_no_traffic.csv,0
41,1760045921.284805,1760045921.3845575,99.75242614746094,80,17,1.2498944997787476,1.9329392374543615,3.41524101186092,8.0,7807.0369140625,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,190.8125,42.72326466633841,46,213,160.6875,92.82343369941665,0,255,114.7,70.98193432134688,4,253,140.3625,75.12210788942228,0,250,120.675,81.45547480065416,3,255,137.675,78.52257239163781,0,254,can_log_regular_no_traffic.csv,0
42,1760045921.384805,1760045921.484568,99.76315498352051,80,17,1.2501329183578491,1.9346272326337475,3.41524101186092,8.0,7285.4767578125,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,191.25,42.942548829802824,46,213,57.5625,64.47477098640987,1,236,125.375,73.96018777017808,2,252,128.7125,73.09432155612363,6,255,108.2125,74.75153740057793,2,255,125.075,67.50199534087864,4,249,can_log_regular_no_traffic.csv,0
43,1760045921.4848146,1760045921.58458,99.76530075073242,80,17,1.250147819519043,1.9308427431106492,3.41524101186092,8.0,7529.155859375,5.725,6.170443663141253,0,15,114.75,118.56891456026744,0,255,191.25,42.942548829802824,46,213,66.4375,61.99291164117072,11,237,138.325,73.75004661015477,14,251,136.4125,72.31764890917015,2,255,149.6625,77.70037705024345,5,254,126.1625,74.18935970710355,3,247,can_log_regular_no_traffic.csv,0
44,1760045921.5848053,1760045921.6845856,99.78032112121582,80,17,1.250070333480835,1.9327160944503112,3.41524101186092,8.0,6838.140625,5.725,6.170443663141253,0,15,114.6,118.5533213368567,0,255,191.25,42.942548829802824,46,213,75.3125,59.556400527147375,21,238,120.5375,72.99999036815004,8,255,110.8875,71.05314802139311,3,255,134.3,78.88177863106283,4,255,128.1375,70.34304225543562,0,239,can_log_regular_no_traffic.csv,0
45,1760045921.68482,1760045921.7845533,99.73335266113281,80,17,1.2495964765548706,1.9292096874944358,3.41524101186092,8.0,7302.8685546875,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,191.25,42.942548829802824,46,213,84.1875,57.17103588137965,31,239,128.9375,74.46061773682783,0,254,126.0375,74.5517343443464,2,254,109.0875,84.15449984255149,0,253,132.8875,78.8523927585587,0,253,can_log_regular_no_traffic.csv,0
46,1760045921.7848024,1760045921.8845944,99.7920036315918,80,17,1.2505143880844116,1.931752209286424,3.41524101186092,8.0,6958.0708984375,5.725,6.170443663141253,0,15,114.7,118.56373813270226,0,255,191.25,42.942548829802824,46,213,93.0625,54.84349180850906,41,240,106.8,71.62391360432633,5,241,119.7875,76.07688442457405,3,250,144.8875,76.08219137058292,8,255,123.75,72.33731747860159,1,252,can_log_regular_no_traffic.csv,0
