timestamp,can_id,dlc,data_hex,scenario,is_attack
1760725354.2151864,0x1a,8,0000e1318b1dff37,normal,0
1760725354.215387,0x2f,8,0000e1318b1dff37,normal,0
1760725354.215611,0x43,8,0000e1318b1dff37,normal,0
1760725354.2158396,0x58,8,07ffe131df11b014,normal,0
1760725354.217521,0x24,8,0000d20a9f919f72,normal,0
1760725354.2177575,0x39,8,0000d20a9f919f72,normal,0
1760725354.2201085,0x62,8,0c14d208a74468cd,normal,0
1760725354.2251694,0x1a,8,0000e132314cf6ae,normal,0
1760725354.22539,0x2f,8,0000e132314cf6ae,normal,0
1760725354.225627,0x43,8,0000e132314cf6ae,normal,0
1760725354.2258463,0x58,8,07ffe1326540b98d,normal,0
1760725354.2275221,0x24,8,0000d20b09a19805,normal,0
1760725354.2277613,0x39,8,0000d20b09a19805,normal,0
1760725354.2280025,0x77,8,000161cdc051b5b9,normal,0
1760725354.228232,0x98,8,000061cdf73b77b8,normal,0
1760725354.2284622,0x1a7,8,000061cdf73b77b8,normal,0
1760725354.230086,0x62,8,0c14d20931746fba,normal,0
1760725354.2351806,0x1a,8,0000e133a77cf1d9,normal,0
1760725354.235387,0x2f,8,0000e133a77cf1d9,normal,0
1760725354.2356095,0x43,8,0000e133a77cf1d9,normal,0
1760725354.23585,0x58,8,07ffe133f370befa,normal,0
1760725354.2375445,0x24,8,0000d20caa34fc9b,normal,0
1760725354.2377608,0x39,8,0000d20caa34fc9b,normal,0
1760725354.238001,0x1b8,8,010061cd925ccb00,normal,0
1760725354.2382257,0x1bb,8,000061cdf73b77b8,normal,0
1760725354.2401109,0x62,8,0c14d20a8b256623,normal,0
1760725354.2451694,0x1a,8,0000e13404e99547,normal,0
1760725354.2453918,0x2f,8,0000e13404e99547,normal,0
1760725354.2456074,0x43,8,0000e13404e99547,normal,0
1760725354.245849,0x58,8,07ffe13450e5da64,normal,0
1760725354.2475579,0x24,8,0000d20d3c04fbec,normal,0
1760725354.24776,0x39,8,0000d20d3c04fbec,normal,0
1760725354.2501311,0x62,8,0c14d20b1d156154,normal,0
1760725354.2503958,0x1d3,8,000061cdf73b77b8,normal,0
1760725354.2505662,0x150,8,010061cd925ccb00,normal,0
1760725354.255153,0x1a,8,0000e13592d99230,normal,0
1760725354.255372,0x2f,8,0000e13592d99230,normal,0
1760725354.255603,0x43,8,0000e13592d99230,normal,0
1760725354.2558553,0x58,8,07ffe135c6d5dd13,normal,0
1760725354.2575555,0x24,8,0000d20e8655f275,normal,0
1760725354.2577724,0x39,8,0000d20e8655f275,normal,0
1760725354.2601027,0x62,8,0c13d20c3b964acf,normal,0
1760725354.2651792,0x1a,8,0000e13628889ba9,normal,0
1760725354.2653902,0x2f,8,0000e13628889ba9,normal,0
1760725354.2656097,0x43,8,0000e13628889ba9,normal,0
1760725354.2658389,0x58,8,07ffe1367c84d48a,normal,0
1760725354.2675786,0x24,8,0000d20f1065f502,normal,0
1760725354.267774,0x39,8,0000d20f1065f502,normal,0
1760725354.2700913,0x62,8,0c14d20d28b002bd,normal,0
1760725354.275176,0x1a,8,0000e137beb89cde,normal,0
1760725354.2753868,0x2f,8,0000e137beb89cde,normal,0
1760725354.2756329,0x43,8,0000e137beb89cde,normal,0
1760725354.2758503,0x58,8,07ffe137eab4d3fd,normal,0
1760725354.2775218,0x24,8,0000d210e568fd8f,normal,0
