score,window_index
0.63643605,1011
0.6478811,1012
0.6189776,1013
0.57679486,1014
0.5409273,1015
0.46777242,1016
0.4696372,1017
0.4811015,1018
0.45513463,1019
0.46775472,1020
0.42624897,1021
0.43708846,1022
0.44955376,1023
0.4335511,1024
0.4458733,1025
0.4321977,1026
0.43196636,1027
0.44362435,1028
0.4525207,1029
0.47426343,1030
0.4819114,1031
0.47208434,1032
0.48859742,1033
0.49408185,1034
0.504279,1035
0.5202889,1036
0.5155012,1037
0.5261986,1038
0.49960423,1039
0.4921241,1040
0.5187958,1041
0.5457995,1042
0.5759217,1043
0.5888485,1044
0.59582067,1045
0.611592,1046
0.5948586,1047
0.6036225,1048
0.59216917,1049
0.583099,1050
0.58970666,1051
0.5599028,1052
0.63936824,1053
0.63604504,1054
0.6567942,1055
0.6439788,1056
0.64936435,1057
0.6523399,1058
0.6572025,1059
0.6529321,1060
0.65380985,1061
0.65756035,1062
0.63610387,1063
0.6308273,1064
0.65534526,1065
0.63953936,1066
0.6056732,1067
0.64474607,1068
0.653075,1069
0.62869215,1070
0.61347806,1071
0.62560415,1072
0.5925383,1073
0.60736483,1074
0.5600074,1075
0.5967021,1076
0.6134349,1077
0.6235293,1078
0.6382905,1079
0.65602833,1080
0.6350785,1081
0.5900563,1082
0.6104601,1083
0.6015952,1084
0.602327,1085
0.5982819,1086
0.5799395,1087
0.5632606,1088
0.5761647,1089
0.5718956,1090
0.5879241,1091
0.6201415,1092
0.53084403,1093
0.53697765,1094
0.5254269,1095
0.56039524,1096
0.5462684,1097
0.5417476,1098
0.5289442,1099
0.53339523,1100
0.52221173,1101
0.51620823,1102
0.507191,1103
0.5163118,1104
0.5212349,1105
0.52059716,1106
0.5469176,1107
0.53122705,1108
0.5840449,1109
0.5611799,1110
0.5466582,1111
0.5660048,1112
0.56442565,1113
0.56727284,1114
0.5928091,1115
0.52295965,1116
0.53805083,1117
0.56038105,1118
0.56913966,1119
0.5288017,1120
0.5371825,1121
0.5337261,1122
0.51859885,1123
0.50652635,1124
0.4821461,1125
0.48561352,1126
0.4623639,1127
0.5208837,1128
0.4360278,1129
0.45228103,1130
0.4693191,1131
0.48316061,1132
0.4541038,1133
0.45340154,1134
0.43785155,1135
0.4308933,1136
0.43596113,1137
0.43691546,1138
0.44516197,1139
0.4629384,1140
0.46920943,1141
0.4618693,1142
0.5194331,1143
0.52962166,1144
0.6191861,1145
0.6260344,1146
0.6195804,1147
0.5776028,1148
0.59125507,1149
0.5864009,1150
0.58723867,1151
0.5637997,1152
0.5578528,1153
0.5575712,1154
0.5779509,1155
0.5786848,1156
0.57012206,1157
0.5656121,1158
0.5846038,1159
0.60893416,1160
0.57337815,1161
0.5907817,1162
0.5454407,1163
0.5787636,1164
0.49515423,1165
0.50806385,1166
0.4962323,1167
0.50916094,1168
0.52454674,1169
0.5022482,1170
0.50332344,1171
0.47799286,1172
0.47005466,1173
0.46425995,1174
0.46465534,1175
0.47147766,1176
0.47636703,1177
0.49330372,1178
0.4682575,1179
0.459196,1180
0.50086486,1181
0.46858147,1182
0.45696953,1183
0.44782466,1184
0.44657984,1185
0.40652043,1186
0.41916534,1187
0.46082407,1188
0.46218812,1189
0.5068564,1190
0.54261947,1191
0.53978944,1192
0.573365,1193
0.6090133,1194
0.5752483,1195
0.5621119,1196
0.5665146,1197
0.5662493,1198
0.5802773,1199
0.58235,1200
0.54976165,1201
0.5467241,1202
0.5355462,1203
0.5490174,1204
0.54392487,1205
0.5436415,1206
0.546139,1207
0.52669626,1208
0.51890916,1209
0.4947455,1210
0.4779269,1211
0.49411908,1212
0.48095512,1213
0.49199852,1214
0.498413,1215
0.5165408,1216
0.5378339,1217
0.54032725,1218
0.5106601,1219
0.50540364,1220
0.5115276,1221
0.53429353,1222
0.5116676,1223
0.4828188,1224
0.513321,1225
0.5182782,1226
0.50101024,1227
0.5143112,1228
0.539398,1229
0.5217859,1230
0.52668613,1231
0.51025784,1232
0.5305334,1233
0.5369338,1234
0.53504366,1235
0.51437205,1236
0.5154385,1237
0.55809706,1238
0.5453895,1239
0.5344698,1240
0.5465205,1241
0.5669919,1242
0.54768753,1243
0.56059235,1244
0.53771764,1245
0.54879636,1246
0.55683523,1247
0.5098749,1248
0.4952205,1249
0.5322095,1250
0.5180944,1251
0.51098037,1252
0.5162489,1253
0.482365,1254
0.49608037,1255
0.5176144,1256
0.49937996,1257
0.47424912,1258
0.47642112,1259
0.47333872,1260
0.44369933,1261
0.45410267,1262
0.46952567,1263
0.45333478,1264
0.4890686,1265
0.48685887,1266
0.49671325,1267
0.53700465,1268
0.5452286,1269
0.5058791,1270
0.49969414,1271
0.48742533,1272
0.5239098,1273
0.5017605,1274
0.5098093,1275
0.527275,1276
0.52029,1277
0.51045984,1278
0.4916381,1279
0.4755557,1280
0.4941736,1281
0.4792327,1282
0.5108496,1283
0.5045131,1284
0.5252511,1285
0.504616,1286
0.537831,1287
0.4945478,1288
0.4586761,1289
0.47613358,1290
0.49487513,1291
0.5010013,1292
0.4732345,1293
0.48725456,1294
0.5708137,1295
0.4589535,1296
0.45727304,1297
0.4648008,1298
0.46652997,1299
0.47441947,1300
0.46830958,1301
0.47304687,1302
0.43601474,1303
0.45911145,1304
0.41673103,1305
0.43036866,1306
0.43043116,1307
0.45602453,1308
0.45658547,1309
0.4598652,1310
0.44108957,1311
0.44549438,1312
0.43719998,1313
0.4433576,1314
0.43118873,1315
0.43109113,1316
0.4322227,1317
0.43512997,1318
0.4774035,1319
0.5147345,1320
0.5200536,1321
0.5141964,1322
0.52369803,1323
0.50837195,1324
0.5332584,1325
0.5191476,1326
0.5078112,1327
0.4811901,1328
0.49333528,1329
0.52422774,1330
0.5237986,1331
0.5160129,1332
0.5171549,1333
0.49807665,1334
0.5355788,1335
0.5845359,1336
0.6638346,1337
0.6953733,1338
0.68456423,1339
0.65704316,1340
0.6448917,1341
0.64985746,1342
0.67974776,1343
0.7072745,1344
0.71717834,1345
0.750706,1346
0.8039104,1347
0.79123956,1348
0.7858071,1349
0.7508298,1350
0.75909233,1351
0.73345196,1352
0.7195705,1353
0.7468813,1354
0.72214025,1355
0.67460936,1356
0.61453533,1357
0.58806616,1358
0.57950145,1359
0.5742338,1360
0.5733296,1361
0.58562696,1362
0.5316951,1363
0.51183456,1364
0.5000324,1365
0.48258293,1366
0.46718127,1367
0.46224356,1368
0.4615016,1369
0.46242502,1370
0.44422477,1371
0.44948477,1372
0.49162295,1373
0.4651449,1374
0.48061487,1375
0.47977534,1376
0.45259103,1377
0.50680864,1378
0.5243486,1379
0.5453673,1380
0.5537282,1381
0.53447515,1382
0.54773086,1383
0.5614763,1384
0.5447561,1385
0.5357155,1386
0.5132964,1387
0.5402822,1388
0.5046506,1389
0.5623235,1390
0.58891237,1391
0.6319586,1392
0.60311866,1393
0.67184776,1394
0.6245029,1395
0.6331972,1396
0.60668075,1397
0.5576121,1398
0.5901659,1399
0.5647024,1400
0.5495327,1401
0.5448427,1402
0.5433783,1403
0.5658618,1404
0.5682154,1405
0.6305904,1406
0.6234895,1407
0.6676156,1408
0.6633384,1409
0.6152728,1410
0.5873247,1411
